n	row_ratio	col_ratio	offset
46014	4.793780153866215	4.7938888164471685	5
46300	4.79451403887689	4.794535637149028	1
46586	4.794594942686644	4.794637874039411	2
46871	4.79533186831943	4.795353203473363	1
47157	4.7958521534448755	4.79587335920436	1
47443	4.7964715553400925	4.79651371119027	2
47729	4.79676925977917	4.796853066269983	4
48015	4.797230032281579	4.79727168593148	2
48300	4.798219461697722	4.79832298136646	5
48586	4.798892685135636	4.798933849256987	2
48872	4.799230643313145	4.799271566541169	2
49158	4.800012205541316	4.800032548110176	1
49444	4.800279103632392	4.80029932853329	1
49729	4.801001427738342	4.801041645719802	2
50015	4.802199340197941	4.802259322203339	3
50301	4.803304109262242	4.803363750223654	3
50587	4.80425801095143	4.804277778875996	1
50873	4.80502427613862	4.805043932931024	1
51158	4.80579772469604	4.805836819265804	2
51444	4.807227276261566	4.807285592100148	3
51730	4.808409046974676	4.808505702687029	5
52016	4.808655029221778	4.80869347892956	2
52302	4.810236702229361	4.810255821957095	1
52587	4.8105235134158635	4.810599577842432	4
52873	4.810356892932121	4.810394719422011	2
53159	4.811170262796516	4.811189074286574	1
53445	4.812536252221911	4.812554963046122	1
53731	4.812361578976755	4.812417412666803	3
54016	4.8129257997630335	4.812981338862559	3
54302	4.81295348237634	4.813045560016206	5
54588	4.813255660584744	4.813273979629223	1
54874	4.813864489557896	4.814064948791778	11
55160	4.814612037708485	4.8147026831036985	5
55445	4.815258364144648	4.815276400036072	1
55731	4.814753009994438	4.814860670004127	6
56017	4.815056143670671	4.815073995394255	1
56303	4.816031117347211	4.8160844004759955	3
56589	4.817296647758398	4.817314319037269	1
56874	4.818141857439252	4.818229771072898	5
57160	4.818212036389084	4.818229531140658	1
57446	4.8190126379556455	4.8190300456080495	1
57732	4.820186378438301	4.8202036998545	1
58018	4.821021062428901	4.821038298459099	1
58303	4.821981716206714	4.822016019758846	2
58589	4.823192066770213	4.823209134820529	1
